profit_per_user,multi_func_profit_profit,multi_func_profit_cost,multi_func_profit_users,multi_func_worst_profit_profit,multi_func_worst_profit_cost,multi_func_worst_profit_users,multi_func_min_cost_profit,multi_func_min_cost_cost,multi_func_min_cost_users,multi_func_max_users_profit,multi_func_max_users_cost,multi_func_max_users_users,single_func_profit,single_func_cost,single_func_users,random_deploy_profit,random_deploy_cost,random_deploy_users
266.03,915.8,414.35,5.0,364.85,167.21,2.0,402.29,129.77,2.0,915.8,414.35,5.0,428.25,369.84,3.0,427.06,371.03,3.0
268.7,-827.83,1096.53,1.0,-1048.32,1317.02,1.0,-827.83,1096.53,1.0,-987.49,1256.19,1.0,-1045.67,1314.37,1.0,-936.34,1205.04,1.0
271.21,-398.09,669.3,1.0,-914.42,1456.84,2.0,-398.09,669.3,1.0,-913.25,1455.67,2.0,-457.21,728.42,1.0,-457.8,729.01,1.0
272.64,1165.79,470.05,6.0,294.95,250.33,2.0,410.39,134.89,2.0,1164.46,471.38,6.0,597.62,492.94,4.0,444.12,373.8,3.0
277.46,-412.39,689.85,1.0,-940.2,1495.12,2.0,-412.39,689.85,1.0,-940.2,1495.12,2.0,-471.25,748.71,1.0,-471.25,748.71,1.0
279.78,-1462.53,1742.31,1.0,-1707.09,1986.87,1.0,-1462.53,1742.31,1.0,-1703.44,1983.22,1.0,-1700.19,1979.97,1.0,-1701.27,1981.05,1.0
281.37,-900.0,1181.37,1.0,-2168.13,2730.87,2.0,-900.0,1181.37,1.0,-2124.74,2687.48,2.0,-2166.3,2729.04,2.0,-1083.24,1364.61,1.0
286.42,-439.23,725.65,1.0,-1271.93,1844.77,2.0,-439.23,725.65,1.0,-1186.87,1759.71,2.0,-1259.46,1832.3,2.0,-556.83,843.25,1.0
287.66,1308.53,705.09,7.0,329.32,533.66,3.0,430.17,145.15,2.0,1165.57,848.05,7.0,450.65,699.99,4.0,335.96,527.02,3.0
290.03,428.49,441.6,3.0,142.83,147.2,1.0,142.83,147.2,1.0,371.64,788.48,4.0,277.2,592.89,3.0,184.8,395.26,2.0
291.3,747.12,1000.68,6.0,176.29,406.31,2.0,286.16,296.44,2.0,747.12,1000.68,6.0,352.65,812.55,4.0,371.85,502.05,3.0
292.54,1448.79,598.99,7.0,217.49,367.59,2.0,435.84,149.24,2.0,1445.66,602.12,7.0,333.48,544.14,3.0,860.9,601.8,5.0
296.18,431.61,456.93,3.0,277.26,611.28,3.0,287.74,304.62,2.0,375.73,808.99,4.0,280.28,608.26,3.0,277.26,611.28,3.0
297.67,1246.65,539.37,6.0,442.0,153.34,2.0,442.0,153.34,2.0,1246.65,539.37,6.0,864.67,623.68,5.0,741.52,449.16,4.0
298.92,630.96,863.64,5.0,41.74,556.1,2.0,144.56,154.36,1.0,629.09,865.51,5.0,69.9,826.86,3.0,208.74,688.02,3.0
