topology_degree,multi_func_profit_cost,multi_func_worst_profit_cost,multi_func_min_cost_cost,multi_func_max_users_cost,single_func_cost,random_deploy_cost,multi_func_profit_profit,multi_func_worst_profit_profit,multi_func_min_cost_profit,multi_func_max_users_profit,single_func_profit,random_deploy_profit,multi_func_profit_users,multi_func_worst_profit_users,multi_func_min_cost_users,multi_func_max_users_users,single_func_users,random_deploy_users
2,599.6483333333333,553.3433333333334,411.5905555555555,733.5138888888889,697.2444444444444,577.6133333333332,126.40777777777777,-275.185,-137.17111111111114,12.393888888888906,-194.1633333333333,-76.66333333333331,3.111111111111111,1.2777777777777777,1.2222222222222223,3.2222222222222223,2.2222222222222223,2.1666666666666665
3,386.05470588235295,320.7388235294117,165.67764705882354,492.0523529411764,390.78235294117644,339.5664705882353,525.0752941176471,13.212941176470586,104.76235294117647,465.00588235294117,118.23764705882353,119.95705882352941,4.470588235294118,1.6470588235294117,1.2941176470588236,4.764705882352941,2.2941176470588234,2.1176470588235294
4,669.9414285714286,841.2909523809524,504.9014285714286,960.2647619047619,825.6261904761906,710.0409523809525,-90.70000000000002,-566.9785714285714,-298.40666666666664,-336.54,-486.23904761904765,-383.0619047619048,3.0,1.6666666666666667,1.1428571428571428,3.4285714285714284,1.7619047619047619,1.7619047619047619
5,415.76772727272726,540.385,236.61045454545447,665.1236363636364,472.90681818181815,484.34727272727264,340.5245454545455,-235.8227272727273,8.558181818181826,152.10818181818183,-85.88545454545454,-22.542272727272724,3.8636363636363638,1.7272727272727273,1.3181818181818181,4.409090909090909,2.0,2.3636363636363638
