profit_per_user,multi_func_profit_cost,multi_func_worst_profit_cost,multi_func_min_cost_cost,multi_func_max_users_cost,single_func_cost,random_deploy_cost,multi_func_profit_profit,multi_func_worst_profit_profit,multi_func_min_cost_profit,multi_func_max_users_profit,single_func_profit,random_deploy_profit,multi_func_profit_users,multi_func_worst_profit_users,multi_func_min_cost_users,multi_func_max_users_users,single_func_users,random_deploy_users
460.63,53834.22,64187.54,53834.22,63219.69,64187.54,63219.69,-53373.59,-63726.91,-53373.59,-62759.06,-63726.91,-62759.06,1.0,1.0,1.0,1.0,1.0,1.0
462.8,18354.0,93108.78,18354.0,85550.85,54269.09,48201.67,-17891.2,-91257.58,-17891.2,-83699.65,-53343.49,-47276.07,1.0,4.0,1.0,4.0,2.0,2.0
463.2,14389.46,143600.6,14389.46,143600.6,14896.33,14896.33,-13926.26,-138505.4,-13926.26,-138505.4,-14433.13,-14433.13,1.0,11.0,1.0,11.0,1.0,1.0
475.67,26936.0,118402.04,26936.0,118402.04,118402.04,57217.53,-26460.33,-116499.36,-26460.33,-116499.36,-116499.36,-56266.19,1.0,4.0,1.0,4.0,4.0,2.0
477.11,22547.2,83222.41,22547.2,76914.49,50299.37,50299.37,-21592.98,-80359.75,-21592.98,-74051.83,-48868.04,-48868.04,2.0,6.0,2.0,6.0,3.0,3.0
481.91,52377.93,56818.07,52377.93,53417.44,56818.07,54572.37,-51896.02,-56336.16,-51896.02,-52935.53,-56336.16,-54090.46,1.0,1.0,1.0,1.0,1.0,1.0
489.74,24836.0,92139.14,24836.0,72536.11,83762.85,66491.43,-22387.3,-86752.0,-22387.3,-66659.23,-78865.45,-61104.29,5.0,11.0,5.0,12.0,10.0,11.0
498.33,87780.04,90394.97,87780.04,87780.04,90394.97,87780.04,-87281.71,-89896.64,-87281.71,-87281.71,-89896.64,-87281.71,1.0,1.0,1.0,1.0,1.0,1.0
501.01,4187.7,11488.61,4187.7,10830.4,6663.43,6663.43,-3686.69,-9985.58,-3686.69,-6822.32,-6162.42,-6162.42,1.0,3.0,1.0,8.0,1.0,1.0
505.35,7332.0,45544.93,7332.0,41950.44,45544.93,20682.63,-6826.65,-43523.53,-6826.65,-39929.04,-43523.53,-19671.93,1.0,4.0,1.0,4.0,4.0,2.0
507.76,44551.0,122098.4,44551.0,122098.4,50398.83,58550.91,-42012.2,-115497.52,-42012.2,-115497.52,-47860.03,-55504.35,5.0,13.0,5.0,13.0,5.0,6.0
508.23,8482.27,32981.35,8482.27,32981.35,15164.15,15164.15,-7974.04,-30440.2,-7974.04,-30440.2,-14655.92,-14655.92,1.0,5.0,1.0,5.0,1.0,1.0
