test_data_id,multi_func_profit_info,multi_func_time,compute_first_info,compute_first_time,memory_first_info,memory_first_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
13,"[186.87, 2393.13, 6.0, [(0, 2), (1, 3)]]",0.001,"[62.29, 797.71, 2.0, [(0, 1), (1, 2)]]",0.0005,"[186.87, 2393.13, 6.0, [(0, 3), (1, 2)]]",0.0,"[133.53, 2016.47, 5, [(0, 1), (1, 1)]]",0.0,"[186.87, 2393.13, 6.0, [(0, 3), (1, 2)]]",0.0
14,"[346.69, 838.31, 5, [(0, 1), (1, 6), (2, 3), (3, 4)]]",0.013,"[208.02, 502.98, 3, [(0, 3), (1, 4), (2, 3), (3, 4)]]",0.0,None,0.0,"[122.28, 351.72, 2, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.0,"[65.34, 171.66, 1, [(0, 5), (1, 2), (2, 1), (3, 1)]]",0.0
15,"[249.39, 1300.61, 5, [(0, 1), (1, 6), (2, 5)]]",0.002,"[249.39, 1300.61, 5, [(0, 5), (1, 6), (2, 5)]]",0.0005,"[249.39, 1300.61, 5, [(0, 6), (1, 5), (2, 6)]]",0.001,"[48.66, 261.34, 1, [(0, 1), (1, 1), (2, 1)]]",0.0,"[49.88, 260.12, 1, [(0, 3), (1, 2), (2, 6)]]",0.0
16,"[431.55, 404.45, 4, [(0, 6), (1, 6), (2, 7), (3, 4), (4, 4)]]",0.1307,"[120.07, 88.93, 1, [(0, 2), (1, 4), (2, 2), (3, 6), (4, 2)]]",0.0,"[360.2, 266.8, 3, [(0, 4), (1, 7), (2, 4), (3, 7), (4, 4)]]",0.0,"[200.38, 217.62, 2, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]]",0.0,"[224.74, 193.26, 2, [(0, 4), (1, 4), (2, 4), (3, 3), (4, 4)]]",0.0
17,"[345.51, 390.49, 2, [(0, 3), (1, 3), (2, 2), (3, 1), (4, 1)]]",0.0401,"[187.48, 180.52, 1, [(0, 1), (1, 2), (2, 1), (3, 2), (4, 1)]]",0.0005,None,0.0,"[165.24, 202.76, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]]",0.0,"[187.48, 180.52, 1, [(0, 1), (1, 3), (2, 1), (3, 4), (4, 1)]]",0.0
18,"[263.83, 710.17, 2, [(0, 6), (1, 6), (2, 1), (3, 1)]]",0.006,"[139.24, 347.76, 1, [(0, 1), (1, 6), (2, 1), (3, 6)]]",0.0,"[139.24, 347.76, 1, [(0, 1), (1, 6), (2, 1), (3, 6)]]",0.0,"[129.4, 357.6, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[131.08, 355.92, 1, [(0, 2), (1, 1), (2, 1), (3, 1)]]",0.0
19,"[136.15, 175.85, 1, [(0, 1), (1, 1), (2, 2), (3, 2), (4, 2)]]",0.013,None,0.0,"[142.36, 169.64, 1, [(0, 4), (1, 1), (2, 4), (3, 3), (4, 2)]]",0.0,None,0.0,"[140.02, 171.98, 1, [(0, 4), (1, 3), (2, 1), (3, 4), (4, 4)]]",0.0005
20,"[266.34, 183.66, 2, [(0, 6), (1, 6), (2, 1)]]",0.001,"[274.88, 175.12, 2, [(0, 6), (1, 1), (2, 6)]]",0.0005,"[274.88, 175.12, 2, [(0, 6), (1, 1), (2, 6)]]",0.001,"[127.92, 97.08, 1, [(0, 6), (1, 6), (2, 6)]]",0.0,"[137.44, 87.56, 1, [(0, 4), (1, 3), (2, 1)]]",0.0
21,"[512.26, 327.74, 4, [(0, 5), (1, 4), (2, 4), (3, 6), (4, 2)]]",0.0696,"[134.78, 75.22, 1, [(0, 6), (1, 4), (2, 6), (3, 4), (4, 6)]]",0.0,"[269.57, 150.43, 2, [(0, 4), (1, 5), (2, 4), (3, 6), (4, 4)]]",0.0,"[120.64, 89.36, 1, [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]]",0.0,"[134.78, 75.22, 1, [(0, 6), (1, 3), (2, 6), (3, 3), (4, 6)]]",0.0
22,"[410.4, 1099.6, 5, [(0, 1), (1, 5), (2, 5), (3, 2)]]",0.0125,"[86.82, 215.18, 1.0, [(0, 6), (1, 2), (2, 6), (3, 2)]]",0.0005,"[173.64, 430.36, 2.0, [(0, 5), (1, 6), (2, 5), (3, 6)]]",0.0,"[77.76, 224.24, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[173.64, 430.36, 2.0, [(0, 2), (1, 5), (2, 6), (3, 5)]]",0.0
