Algorithm,4,5,6,7,8,9,10,11,12,14,15,16
multi_func_profit,4.545454545454546,3.3529411764705883,2.375,3.4444444444444446,3.8333333333333335,3.5,6.25,3.0,4.5,1.0,1.0,1.0
compute_first,3.272727272727273,3.0588235294117645,2.125,2.7777777777777777,3.6666666666666665,2.0,5.0,2.0,3.0,1.0,2.0,3.0
memory_first,3.5454545454545454,2.823529411764706,2.5,3.888888888888889,3.5,4.0,4.25,3.0,3.0,3.0,5.0,1.0
single_func,2.727272727272727,2.2941176470588234,1.375,1.2222222222222223,3.6666666666666665,1.5,4.75,1.5,2.5,3.0,2.0,1.0
random_deploy,2.1363636363636362,2.176470588235294,1.5,1.3333333333333333,2.8333333333333335,1.5,1.75,2.25,1.5,1.0,2.0,1.0
min_profit,1.2727272727272727,1.9411764705882353,2.875,2.4444444444444446,4.0,1.0,2.75,3.75,3.5,4.0,6.0,5.0
