Function Count,multi_func_profit,compute_first,memory_first,single_func,random_deploy,min_profit
2,231.708,158.76600000000002,173.35966666666667,122.27966666666666,96.45700000000001,30.23366666666667
3,69.62541666666665,12.877083333333331,3.2937500000000006,15.673333333333334,-0.5254166666666679,-38.28916666666667
4,21.430000000000003,-33.148666666666664,-20.722666666666665,-33.72733333333333,-21.652,-109.71133333333334
5,-46.805,-90.19375,-93.16375,-67.82374999999999,-83.46875,-213.17000000000002
