test_data_id,multi_func_profit_info,multi_func_worst_profit_info,multi_func_min_cost_info,multi_func_max_users_info,multi_func_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
68,"[1017.0, -768.51, 1.0, [(0, 8), (1, 8), (2, 1), (3, 1)]]","[1050.83, -802.34, 1.0, [(0, 18), (1, 6), (2, 18), (3, 18)]]","[1017.0, -768.51, 1.0, [(0, 8), (1, 8), (2, 1), (3, 1)]]","[1019.61, -771.12, 1.0, [(0, 20), (1, 20), (2, 16), (3, 16)]]",0.0268,None,0.0,"[1047.92, -799.43, 1.0, [(0, 10), (1, 9), (2, 15), (3, 15)]]",0.004
69,"[965.57, -715.36, 1.0, [(0, 20), (1, 10), (2, 10), (3, 10), (4, 10)]]","[1288.97, -1038.76, 1.0, [(0, 3), (1, 2), (2, 3), (3, 2), (4, 1)]]","[965.57, -715.36, 1.0, [(0, 20), (1, 10), (2, 10), (3, 10), (4, 10)]]","[1059.43, -809.22, 1.0, [(0, 20), (1, 20), (2, 20), (3, 10), (4, 10)]]",0.1416,None,0.0,"[1155.83, -905.62, 1.0, [(0, 14), (1, 14), (2, 18), (3, 18), (4, 6)]]",0.001
70,"[1506.35, -1255.39, 1.0, [(0, 10), (1, 10), (2, 10), (3, 9), (4, 9), (5, 9)]]","[1829.43, -1578.47, 1.0, [(0, 8), (1, 10), (2, 20), (3, 11), (4, 12), (5, 11)]]","[1506.35, -1255.39, 1.0, [(0, 10), (1, 10), (2, 10), (3, 9), (4, 9), (5, 9)]]","[1736.79, -1485.83, 1.0, [(0, 20), (1, 16), (2, 18), (3, 18), (4, 14), (5, 18)]]",0.5978,None,0.0,None,0.0145
71,None,None,None,None,0.0024,None,0.0,None,0.0065
72,"[241.08, 773.52, 4.0, [(0, 17), (1, 17), (2, 17)]]","[193.68, 313.62, 2.0, [(0, 8), (1, 8), (2, 10)]]","[120.54, 386.76, 2.0, [(0, 20), (1, 20), (2, 20)]]","[435.69, 578.91, 4.0, [(0, 20), (1, 18), (2, 16)]]",0.018,"[434.67, 579.93, 4.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[435.18, 579.42, 4.0, [(0, 18), (1, 6), (2, 5)]]",0.0
73,"[1057.37, -802.07, 1.0, [(0, 3), (1, 3), (2, 17), (3, 17)]]","[1206.71, -951.41, 1.0, [(0, 12), (1, 4), (2, 3), (3, 4)]]","[1057.37, -802.07, 1.0, [(0, 3), (1, 3), (2, 17), (3, 17)]]","[1149.09, -893.79, 1.0, [(0, 20), (1, 20), (2, 18), (3, 16)]]",0.098,"[1203.88, -948.58, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[1148.2, -892.9, 1.0, [(0, 17), (1, 17), (2, 16), (3, 10)]]",0.001
74,"[755.86, 526.44, 5.0, [(0, 18), (1, 18), (2, 18), (3, 13), (4, 13)]]","[249.06, 7.4, 1.0, [(0, 15), (1, 9), (2, 15), (3, 9), (4, 15)]]","[122.59, 133.87, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]]","[846.76, 435.54, 5.0, [(0, 20), (1, 20), (2, 18), (3, 14), (4, 14)]]",0.6819,"[491.07, 21.85, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[494.73, 18.19, 2.0, [(0, 20), (1, 16), (2, 20), (3, 16), (4, 20)]]",0.0025
75,"[955.83, 588.27, 6.0, [(0, 19), (1, 12), (2, 12), (3, 12), (4, 11), (5, 11)]]","[495.09, 19.61, 2.0, [(0, 17), (1, 13), (2, 5), (3, 4), (4, 12), (5, 5)]]","[123.61, 133.74, 1.0, [(0, 16), (1, 16), (2, 16), (3, 16), (4, 16), (5, 16)]]","[965.46, 578.64, 6.0, [(0, 20), (1, 20), (2, 18), (3, 18), (4, 14), (5, 14)]]",4.2605,"[731.48, 40.57, 3.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,"[417.21, 97.49, 2.0, [(0, 9), (1, 9), (2, 1), (3, 10), (4, 10), (5, 8)]]",0.006
76,"[493.62, 1060.08, 6.0, [(0, 19), (1, 12)]]","[124.64, 393.26, 2.0, [(0, 20), (1, 20)]]","[124.64, 393.26, 2.0, [(0, 20), (1, 20)]]","[493.62, 1060.08, 6.0, [(0, 19), (1, 12)]]",0.003,"[330.69, 705.11, 4.0, [(0, 1), (1, 2)]]",0.0,"[497.25, 1056.45, 6.0, [(0, 2), (1, 15)]]",0.0
77,None,None,None,None,0.002,None,0.0,None,0.007
78,"[664.76, -403.65, 1.0, [(0, 16), (1, 18), (2, 18), (3, 18)]]","[1580.33, -1058.11, 2.0, [(0, 7), (1, 6), (2, 11), (3, 12)]]","[664.76, -403.65, 1.0, [(0, 16), (1, 18), (2, 18), (3, 18)]]","[1577.0, -1054.78, 2.0, [(0, 20), (1, 18), (2, 14), (3, 15)]]",0.1423,"[788.57, -527.46, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[1577.11, -1054.89, 2.0, [(0, 19), (1, 11), (2, 8), (3, 1)]]",0.0
79,"[457.99, 1115.27, 6.0, [(0, 18), (1, 18), (2, 14), (3, 14), (4, 14)]]","[334.88, 189.54, 2.0, [(0, 6), (1, 5), (2, 6), (3, 19), (4, 7)]]","[127.7, 396.72, 2.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 18)]]","[506.48, 1066.78, 6.0, [(0, 20), (1, 18), (2, 14), (3, 14), (4, 14)]]",1.0791,"[494.59, 292.04, 3.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[494.82, 291.81, 3.0, [(0, 14), (1, 4), (2, 14), (3, 15), (4, 2)]]",0.0069
80,"[1591.16, -1327.37, 1.0, [(0, 20), (1, 20), (2, 20), (3, 18), (4, 18), (5, 18)]]","[1922.7, -1658.91, 1.0, [(0, 17), (1, 13), (2, 3), (3, 2), (4, 9), (5, 1)]]","[1591.16, -1327.37, 1.0, [(0, 20), (1, 20), (2, 20), (3, 18), (4, 18), (5, 18)]]","[1618.0, -1354.21, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 18), (5, 18)]]",3.3524,None,0.0,None,0.0151
81,"[1095.34, -830.28, 1.0, [(0, 15), (1, 3)]]","[1097.34, -832.28, 1.0, [(0, 17), (1, 3)]]","[1095.34, -830.28, 1.0, [(0, 15), (1, 3)]]","[1096.01, -830.95, 1.0, [(0, 20), (1, 11)]]",0.003,"[1096.67, -831.61, 1.0, [(0, 1), (1, 2)]]",0.0,"[1096.01, -830.95, 1.0, [(0, 7), (1, 8)]]",0.0
82,"[414.35, 915.8, 5.0, [(0, 20), (1, 11), (2, 11)]]","[167.21, 364.85, 2.0, [(0, 2), (1, 1), (2, 1)]]","[129.77, 402.29, 2.0, [(0, 8), (1, 8), (2, 8)]]","[414.35, 915.8, 5.0, [(0, 20), (1, 11), (2, 11)]]",0.0095,"[369.84, 428.25, 3.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[371.03, 427.06, 3.0, [(0, 3), (1, 4), (2, 3)]]",0.0
83,None,None,None,None,0.002,None,0.0,None,0.006
84,"[1096.53, -827.83, 1.0, [(0, 17), (1, 17), (2, 16), (3, 16), (4, 16)]]","[1317.02, -1048.32, 1.0, [(0, 17), (1, 13), (2, 17), (3, 13), (4, 5)]]","[1096.53, -827.83, 1.0, [(0, 17), (1, 17), (2, 16), (3, 16), (4, 16)]]","[1256.19, -987.49, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 18)]]",0.1266,"[1314.37, -1045.67, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[1205.04, -936.34, 1.0, [(0, 8), (1, 8), (2, 1), (3, 2), (4, 2)]]",0.0092
85,"[1107.7, -837.47, 1.0, [(0, 15), (1, 15), (2, 15), (3, 14), (4, 14), (5, 14)]]","[1365.93, -1095.7, 1.0, [(0, 7), (1, 6), (2, 7), (3, 6), (4, 19), (5, 11)]]","[1107.7, -837.47, 1.0, [(0, 15), (1, 15), (2, 15), (3, 14), (4, 14), (5, 14)]]","[1166.96, -896.73, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20), (5, 16)]]",0.5634,"[1362.7, -1092.47, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.0156
86,"[669.3, -398.09, 1.0, [(0, 17), (1, 17)]]","[1456.84, -914.42, 2.0, [(0, 13), (1, 17)]]","[669.3, -398.09, 1.0, [(0, 17), (1, 17)]]","[1455.67, -913.25, 2.0, [(0, 17), (1, 13)]]",0.005,"[728.42, -457.21, 1.0, [(0, 1), (1, 2)]]",0.0,"[729.01, -457.8, 1.0, [(0, 15), (1, 9)]]",0.0
87,"[470.05, 1165.79, 6.0, [(0, 9), (1, 15), (2, 15)]]","[250.33, 294.95, 2.0, [(0, 19), (1, 7), (2, 6)]]","[134.89, 410.39, 2.0, [(0, 14), (1, 14), (2, 14)]]","[471.38, 1164.46, 6.0, [(0, 14), (1, 15), (2, 15)]]",0.0141,"[492.94, 597.62, 4.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[373.8, 444.12, 3.0, [(0, 11), (1, 10), (2, 8)]]",0.0
88,None,None,None,None,0.0083,None,0.0,None,0.0091
89,None,None,None,None,0.0415,None,0.0,None,0.0095
90,"[684.75, -408.22, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17), (4, 17), (5, 17)]]","[1905.38, -1352.32, 2.0, [(0, 13), (1, 14), (2, 12), (3, 14), (4, 15), (5, 3)]]","[684.75, -408.22, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17), (4, 17), (5, 17)]]","[1623.84, -1070.78, 2.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 17), (5, 17)]]",1.4945,"[955.88, -679.35, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.0151
91,"[689.85, -412.39, 1.0, [(0, 20), (1, 20)]]","[1495.12, -940.2, 2.0, [(0, 20), (1, 10)]]","[689.85, -412.39, 1.0, [(0, 20), (1, 20)]]","[1495.12, -940.2, 2.0, [(0, 20), (1, 10)]]",0.003,"[748.71, -471.25, 1.0, [(0, 1), (1, 2)]]",0.0,"[748.71, -471.25, 1.0, [(0, 19), (1, 7)]]",0.0
92,"[2971.73, -2693.08, 1.0, [(0, 15), (1, 14), (2, 13)]]","[2977.57, -2698.92, 1.0, [(0, 6), (1, 5), (2, 13)]]","[2971.73, -2693.08, 1.0, [(0, 15), (1, 14), (2, 13)]]","[2976.18, -2697.53, 1.0, [(0, 19), (1, 12), (2, 5)]]",0.004,None,0.0,"[2972.98, -2694.33, 1.0, [(0, 15), (1, 17), (2, 13)]]",0.003
93,"[1742.31, -1462.53, 1.0, [(0, 9), (1, 1), (2, 1), (3, 1)]]","[1986.87, -1707.09, 1.0, [(0, 7), (1, 8), (2, 11), (3, 19)]]","[1742.31, -1462.53, 1.0, [(0, 9), (1, 1), (2, 1), (3, 1)]]","[1983.22, -1703.44, 1.0, [(0, 19), (1, 12), (2, 14), (3, 18)]]",0.0575,"[1979.97, -1700.19, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[1981.05, -1701.27, 1.0, [(0, 15), (1, 17), (2, 16), (3, 17)]]",0.0
94,"[1181.37, -900.0, 1.0, [(0, 17), (1, 17), (2, 13), (3, 13), (4, 13)]]","[2730.87, -2168.13, 2.0, [(0, 2), (1, 3), (2, 4), (3, 12), (4, 19)]]","[1181.37, -900.0, 1.0, [(0, 17), (1, 17), (2, 13), (3, 13), (4, 13)]]","[2687.48, -2124.74, 2.0, [(0, 20), (1, 20), (2, 16), (3, 17), (4, 13)]]",0.5839,"[2729.04, -2166.3, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[1364.61, -1083.24, 1.0, [(0, 5), (1, 12), (2, 19), (3, 7), (4, 6)]]",0.001
95,"[1769.6, -1487.14, 1.0, [(0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7)]]","[2122.9, -1840.44, 1.0, [(0, 20), (1, 11), (2, 20), (3, 11), (4, 20), (5, 16)]]","[1769.6, -1487.14, 1.0, [(0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7)]]","[1981.67, -1699.21, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 18), (5, 16)]]",2.3126,"[2117.91, -1835.45, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.0146
96,"[1832.0, -1548.31, 1.0, [(0, 13), (1, 17)]]","[1833.14, -1549.45, 1.0, [(0, 13), (1, 14)]]","[1832.0, -1548.31, 1.0, [(0, 13), (1, 17)]]","[1832.0, -1548.31, 1.0, [(0, 13), (1, 17)]]",0.002,None,0.0,"[1833.14, -1549.45, 1.0, [(0, 3), (1, 13)]]",0.001
97,"[1796.48, -1511.35, 1.0, [(0, 19), (1, 7), (2, 7)]]","[1978.41, -1693.28, 1.0, [(0, 19), (1, 6), (2, 19)]]","[1796.48, -1511.35, 1.0, [(0, 19), (1, 7), (2, 7)]]","[1798.54, -1513.41, 1.0, [(0, 20), (1, 18), (2, 18)]]",0.011,None,0.0,"[1975.93, -1690.8, 1.0, [(0, 8), (1, 10), (2, 20)]]",0.0
98,"[725.65, -439.23, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20)]]","[1844.77, -1271.93, 2.0, [(0, 12), (1, 14), (2, 12), (3, 5)]]","[725.65, -439.23, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20)]]","[1759.71, -1186.87, 2.0, [(0, 20), (1, 20), (2, 18), (3, 14)]]",0.1488,"[1832.3, -1259.46, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[843.25, -556.83, 1.0, [(0, 11), (1, 7), (2, 11), (3, 11)]]",0.002
99,"[705.09, 1308.53, 7.0, [(0, 17), (1, 17), (2, 17), (3, 3), (4, 3)]]","[533.66, 329.32, 3.0, [(0, 14), (1, 4), (2, 3), (3, 13), (4, 14)]]","[145.15, 430.17, 2.0, [(0, 15), (1, 15), (2, 15), (3, 15), (4, 15)]]","[848.05, 1165.57, 7.0, [(0, 20), (1, 20), (2, 17), (3, 3), (4, 3)]]",1.0899,"[699.99, 450.65, 4.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[527.02, 335.96, 3.0, [(0, 16), (1, 20), (2, 18), (3, 14), (4, 18)]]",0.001
100,None,None,None,None,0.7016,None,0.0,None,0.0095
101,"[441.6, 428.49, 3.0, [(0, 20), (1, 20)]]","[147.2, 142.83, 1.0, [(0, 17), (1, 17)]]","[147.2, 142.83, 1.0, [(0, 17), (1, 17)]]","[788.48, 371.64, 4.0, [(0, 18), (1, 16)]]",0.003,"[592.89, 277.2, 3.0, [(0, 1), (1, 2)]]",0.0,"[395.26, 184.8, 2.0, [(0, 17), (1, 3)]]",0.0
102,"[1000.68, 747.12, 6.0, [(0, 19), (1, 6), (2, 6)]]","[406.31, 176.29, 2.0, [(0, 18), (1, 6), (2, 18)]]","[296.44, 286.16, 2.0, [(0, 18), (1, 18), (2, 18)]]","[1000.68, 747.12, 6.0, [(0, 19), (1, 6), (2, 6)]]",0.0101,"[812.55, 352.65, 4.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[502.05, 371.85, 3.0, [(0, 9), (1, 10), (2, 10)]]",0.001
103,"[598.99, 1448.79, 7.0, [(0, 6), (1, 19), (2, 19), (3, 19)]]","[367.59, 217.49, 2.0, [(0, 12), (1, 4), (2, 5), (3, 13)]]","[149.24, 435.84, 2.0, [(0, 12), (1, 12), (2, 12), (3, 12)]]","[602.12, 1445.66, 7.0, [(0, 17), (1, 3), (2, 3), (3, 3)]]",0.0407,"[544.14, 333.48, 3.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[601.8, 860.9, 5.0, [(0, 5), (1, 13), (2, 5), (3, 5)]]",0.0
104,"[1891.49, -1597.68, 1.0, [(0, 18), (1, 18), (2, 18), (3, 14), (4, 14)]]","[2172.26, -1878.45, 1.0, [(0, 16), (1, 20), (2, 16), (3, 20), (4, 11)]]","[1891.49, -1597.68, 1.0, [(0, 18), (1, 18), (2, 18), (3, 14), (4, 14)]]","[2077.32, -1783.51, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 18)]]",0.097,None,0.0,None,0.015
105,"[1258.78, -963.91, 1.0, [(0, 17), (1, 17), (2, 17), (3, 16), (4, 16), (5, 16)]]","[3093.31, -2503.57, 2.0, [(0, 8), (1, 1), (2, 2), (3, 3), (4, 17), (5, 16)]]","[1258.78, -963.91, 1.0, [(0, 17), (1, 17), (2, 17), (3, 16), (4, 16), (5, 16)]]","[2880.12, -2290.38, 2.0, [(0, 20), (1, 11), (2, 12), (3, 4), (4, 4), (5, 5)]]",0.643,"[1549.63, -1254.76, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.016
106,"[456.93, 431.61, 3.0, [(0, 13), (1, 13)]]","[611.28, 277.26, 3.0, [(0, 11), (1, 20)]]","[304.62, 287.74, 2.0, [(0, 20), (1, 20)]]","[808.99, 375.73, 4.0, [(0, 20), (1, 10)]]",0.004,"[608.26, 280.28, 3.0, [(0, 1), (1, 2)]]",0.0,"[611.28, 277.26, 3.0, [(0, 2), (1, 1)]]",0.0
107,"[539.37, 1246.65, 6.0, [(0, 20), (1, 16), (2, 16)]]","[153.34, 442.0, 2.0, [(0, 19), (1, 19), (2, 19)]]","[153.34, 442.0, 2.0, [(0, 19), (1, 19), (2, 19)]]","[539.37, 1246.65, 6.0, [(0, 20), (1, 16), (2, 16)]]",0.013,"[623.68, 864.67, 5.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[449.16, 741.52, 4.0, [(0, 14), (1, 14), (2, 18)]]",0.001
108,"[863.64, 630.96, 5.0, [(0, 18), (1, 6), (2, 6), (3, 6)]]","[556.1, 41.74, 2.0, [(0, 11), (1, 20), (2, 16), (3, 17)]]","[154.36, 144.56, 1.0, [(0, 13), (1, 13), (2, 13), (3, 13)]]","[865.51, 629.09, 5.0, [(0, 20), (1, 10), (2, 10), (3, 10)]]",0.0703,"[826.86, 69.9, 3.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[688.02, 208.74, 3.0, [(0, 14), (1, 12), (2, 12), (3, 11)]]",0.001
109,None,None,None,None,0.0496,None,0.0,None,0.0115
110,"[5846.54, -5795.11, 1.0, [(0, 20), (1, 20), (2, 10), (3, 10), (4, 8), (5, 7)]]","[6006.0, -5954.57, 1.0, [(0, 2), (1, 9), (2, 2), (3, 1), (4, 8), (5, 7)]]","[5846.54, -5795.11, 1.0, [(0, 20), (1, 20), (2, 10), (3, 10), (4, 8), (5, 7)]]","[5954.35, -5902.92, 1.0, [(0, 20), (1, 20), (2, 11), (3, 10), (4, 8), (5, 7)]]",0.0323,"[6001.04, -5949.61, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.008
111,"[312.84, -208.34, 2.0, [(0, 20), (1, 20)]]","[839.67, -630.67, 4.0, [(0, 17), (1, 12)]]","[312.84, -208.34, 2.0, [(0, 20), (1, 20)]]","[837.51, -628.51, 4.0, [(0, 18), (1, 16)]]",0.0045,"[423.08, -318.58, 2.0, [(0, 1), (1, 2)]]",0.0,"[631.37, -474.62, 3.0, [(0, 13), (1, 5)]]",0.0
112,"[157.45, -103.55, 1.0, [(0, 7), (1, 7), (2, 7)]]","[886.83, -617.33, 5.0, [(0, 3), (1, 15), (2, 15)]]","[157.45, -103.55, 1.0, [(0, 7), (1, 7), (2, 7)]]","[883.87, -614.37, 5.0, [(0, 17), (1, 3), (2, 3)]]",0.0181,"[491.1, -383.3, 2.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[674.02, -512.32, 3.0, [(0, 5), (1, 5), (2, 4)]]",0.0
113,"[792.35, -737.13, 1.0, [(0, 14), (1, 14), (2, 14), (3, 14)]]","[2005.6, -1895.16, 2.0, [(0, 18), (1, 20), (2, 16), (3, 17)]]","[792.35, -737.13, 1.0, [(0, 14), (1, 14), (2, 14), (3, 14)]]","[1821.59, -1711.15, 2.0, [(0, 20), (1, 18), (2, 18), (3, 16)]]",0.1098,"[1997.31, -1886.87, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.001,"[1001.22, -946.0, 1.0, [(0, 20), (1, 18), (2, 20), (3, 16)]]",0.001
114,"[1316.78, -1260.49, 1.0, [(0, 14), (1, 14), (2, 18), (3, 18), (4, 18)]]","[1597.85, -1541.56, 1.0, [(0, 20), (1, 11), (2, 12), (3, 11), (4, 7)]]","[1316.78, -1260.49, 1.0, [(0, 14), (1, 14), (2, 18), (3, 18), (4, 18)]]","[1424.92, -1368.63, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 18)]]",0.569,"[1589.23, -1532.94, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[1589.45, -1533.16, 1.0, [(0, 1), (1, 9), (2, 16), (3, 4), (4, 5)]]",0.0025
115,"[2002.16, -1944.96, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 16), (5, 16)]]","[2347.01, -2289.81, 1.0, [(0, 16), (1, 18), (2, 16), (3, 18), (4, 16), (5, 20)]]","[2002.16, -1944.96, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 16), (5, 16)]]","[2248.09, -2190.89, 1.0, [(0, 20), (1, 20), (2, 20), (3, 18), (4, 16), (5, 20)]]",3.3036,"[2343.98, -2286.78, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,"[2256.33, -2199.13, 1.0, [(0, 20), (1, 16), (2, 10), (3, 10), (4, 11), (5, 19)]]",0.0106
116,"[321.08, -203.46, 2.0, [(0, 19), (1, 19)]]","[853.17, -617.93, 4.0, [(0, 20), (1, 10)]]","[321.08, -203.46, 2.0, [(0, 19), (1, 19)]]","[848.95, -613.71, 4.0, [(0, 20), (1, 18)]]",0.0045,"[643.04, -466.61, 3.0, [(0, 1), (1, 2)]]",0.0,"[851.06, -615.82, 4.0, [(0, 8), (1, 10)]]",0.0
117,"[2084.44, -2024.67, 1.0, [(0, 10), (1, 10), (2, 9)]]","[2148.75, -2088.98, 1.0, [(0, 16), (1, 10), (2, 1)]]","[2084.44, -2024.67, 1.0, [(0, 10), (1, 10), (2, 9)]]","[2085.8, -2026.03, 1.0, [(0, 20), (1, 20), (2, 16)]]",0.0095,None,0.0,"[2145.08, -2085.31, 1.0, [(0, 1), (1, 8), (2, 19)]]",0.0
118,None,None,None,None,0.004,None,0.0,None,0.0057
119,"[163.61, -38.37, 2.0, [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10)]]","[936.59, -623.49, 5.0, [(0, 17), (1, 16), (2, 17), (3, 16), (4, 2)]]","[163.61, -38.37, 2.0, [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10)]]","[1041.79, -540.83, 8.0, [(0, 20), (1, 20), (2, 16), (3, 2), (4, 2)]]",1.1192,"[745.93, -495.45, 4.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[560.92, -373.06, 3.0, [(0, 14), (1, 4), (2, 14), (3, 13), (4, 3)]]",0.0015
120,"[823.15, -759.59, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20), (5, 20)]]","[2250.39, -2123.27, 2.0, [(0, 11), (1, 10), (2, 11), (3, 10), (4, 16), (5, 17)]]","[823.15, -759.59, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20), (5, 20)]]","[1814.94, -1687.82, 2.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 18), (5, 18)]]",7.1155,"[1123.62, -1060.06, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,"[1121.89, -1058.33, 1.0, [(0, 7), (1, 6), (2, 18), (3, 5), (4, 6), (5, 19)]]",0.0065
121,None,None,None,None,0.0015,None,0.0,None,0.0056
122,"[1387.7, -1321.19, 1.0, [(0, 14), (1, 15), (2, 15)]]","[1541.86, -1475.35, 1.0, [(0, 11), (1, 19), (2, 11)]]","[1387.7, -1321.19, 1.0, [(0, 14), (1, 15), (2, 15)]]","[1485.85, -1419.34, 1.0, [(0, 20), (1, 20), (2, 16)]]",0.0074,"[1536.27, -1469.76, 1.0, [(0, 1), (1, 2), (2, 3)]]",0.0,"[1539.26, -1472.75, 1.0, [(0, 2), (1, 3), (2, 15)]]",0.001
123,"[838.45, -771.15, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[2044.24, -1909.64, 2.0, [(0, 11), (1, 20), (2, 16), (3, 18)]]","[838.45, -771.15, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[2042.02, -1907.42, 2.0, [(0, 20), (1, 16), (2, 18), (3, 14)]]",0.037,"[2039.65, -1905.05, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[862.13, -794.83, 1.0, [(0, 12), (1, 4), (2, 4), (3, 4)]]",0.0
124,"[168.72, -31.62, 2.0, [(0, 17), (1, 17), (2, 17), (3, 17), (4, 17)]]","[948.65, -605.9, 5.0, [(0, 3), (1, 15), (2, 3), (3, 17), (4, 3)]]","[168.72, -31.62, 2.0, [(0, 17), (1, 17), (2, 17), (3, 17), (4, 17)]]","[821.5, -341.65, 7.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 16)]]",0.1498,"[937.9, -595.15, 5.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,None,0.0135
125,"[169.73, -29.29, 2.0, [(0, 11), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11)]]","[1463.11, -831.13, 9.0, [(0, 10), (1, 9), (2, 10), (3, 8), (4, 1), (5, 1)]]","[169.73, -29.29, 2.0, [(0, 11), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11)]]","[1158.99, -527.01, 9.0, [(0, 20), (1, 20), (2, 16), (3, 16), (4, 9), (5, 9)]]",0.583,"[673.31, -462.65, 3.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,None,0.015
126,"[256.14, -42.75, 3.0, [(0, 13), (1, 13)]]","[764.94, -338.16, 6.0, [(0, 12), (1, 11)]]","[256.14, -42.75, 3.0, [(0, 13), (1, 13)]]","[764.94, -338.16, 6.0, [(0, 12), (1, 11)]]",0.0035,"[639.6, -283.95, 5.0, [(0, 1), (1, 2)]]",0.0,"[641.75, -286.1, 5.0, [(0, 10), (1, 9)]]",0.0
127,None,None,None,None,0.002,None,0.0,None,0.0135
128,None,None,None,None,0.002,None,0.0,None,0.0124
129,None,None,None,None,0.0045,None,0.0,None,0.0155
130,None,None,None,None,0.006,None,0.0,None,0.0172
131,None,None,None,None,0.0021,None,0.0,None,0.0051
132,"[879.45, -800.66, 1.0, [(0, 17), (1, 17), (2, 17)]]","[879.45, -800.66, 1.0, [(0, 17), (1, 17), (2, 17)]]","[879.45, -800.66, 1.0, [(0, 17), (1, 17), (2, 17)]]","[879.45, -800.66, 1.0, [(0, 17), (1, 17), (2, 17)]]",0.0026,None,0.0,"[879.45, -800.66, 1.0, [(0, 9), (1, 9), (2, 9)]]",0.002
133,None,None,None,None,0.0034,None,0.0,None,0.0147
